ID,Location,Price,Experience,Other
557,3,1,1,2
1308,2,2,2,1
1499,1,1,3,1
1726,3,4,3,4
1757,2,4,1,2
1901,5,1,1,1
1942,4,3,3,4
2177,3,4,2,4
2893,3,4,2,2
3929,3,4,3,3
4179,3,4,3,3
4184,5,1,3,4
4502,5,2,3,4
4550,5,4,3,1
5168,4,4,3,1
5306,1,1,3,3
5410,1,2,1,4
5816,3,3,3,4
5819,4,3,3,1
5968,4,2,1,4
7641,5,4,1,4
8002,3,2,3,4
8038,5,1,1,4
8133,5,2,2,1
9139,1,1,3,2
10223,4,2,3,2
10308,2,3,1,3
10450,3,3,1,1
10842,5,1,1,2
11132,2,2,3,4
11276,4,2,1,4
11827,1,3,2,3
11901,4,4,1,2
13293,5,3,3,3
13484,2,3,1,4
14657,3,4,1,3
14930,3,1,2,1
15230,4,3,2,3
15593,2,2,3,1
15606,4,2,3,1
15616,1,2,2,4
15706,5,1,3,4
15730,5,1,3,2
15884,1,4,1,2
15949,5,3,3,1
16170,2,1,1,3
16377,1,3,3,2
16479,1,1,2,4
16538,1,3,2,1
16754,4,2,2,1
16785,1,3,3,2
16802,3,1,3,4
17535,1,4,2,3
18136,1,3,2,1
18180,1,3,3,2
18782,4,3,1,3
18861,4,1,3,1
18928,5,3,3,1
19371,1,3,1,3
19509,4,3,1,4
19550,5,4,2,4
19769,2,2,2,2
19821,3,1,3,3
20049,2,1,1,3
20743,5,2,3,4
20761,5,1,3,4
21014,5,2,2,4
21407,2,1,2,4
21749,1,4,2,4
21776,3,1,3,2
22069,5,3,1,3
22445,5,1,3,3
22500,3,2,3,2
22605,4,3,3,2
22615,5,3,2,1
22930,3,1,2,3
23417,3,1,2,4
24028,5,3,2,3
24090,3,2,1,1
24295,2,4,2,3
24467,4,4,1,3
24506,3,3,3,3
24656,2,4,1,2
24848,5,1,2,3
24853,4,4,1,4
25875,5,2,2,3
25882,1,4,1,1
25925,1,3,1,1
26057,4,1,1,2
26441,4,4,3,2
26495,2,3,1,3
26562,3,3,3,2
26932,1,1,2,2
27456,1,3,3,1
27521,2,2,3,3
27726,1,2,1,4
27971,5,1,2,1
29500,5,2,1,2
29593,2,2,1,1
29884,1,1,3,1
30235,1,1,1,3
30877,5,4,3,3
31345,2,2,3,1
32002,4,2,2,2
32093,4,4,3,3
32208,2,2,2,1
32391,2,3,3,4
32500,1,1,1,2
32771,1,3,2,4
32901,1,1,2,3
33303,3,4,1,2
33520,4,3,2,4
34661,3,2,3,4
34717,5,2,2,2
34773,4,2,2,3
35155,2,2,3,1
35739,3,4,2,3
36008,4,4,1,4
36381,2,4,2,3
36879,2,3,1,4
37161,3,1,2,1
37459,3,3,3,4
37648,3,3,3,3
37820,5,4,2,2
38589,5,1,1,3
38676,5,1,1,4
38765,2,3,1,2
38910,5,1,2,2
39950,1,2,2,2
40228,4,1,2,1
41092,1,4,1,3
41182,4,2,3,4
41245,5,4,3,1
41267,4,1,3,2
41568,4,2,1,3
41817,5,4,1,3
42304,4,4,3,1
42337,4,1,1,4
42947,2,3,3,4
43045,3,1,2,1
